Thumb,Index,Middle,Ring,Pinky,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,gesture
0.0066,0.0,0.0,0.0,0.2046,4731.59,17562.89,-17837.49,-52.49,-206.61,165.36,HELLO
0.0028,0.0,0.0,0.0,0.1201,4611.59,17458.89,-17557.49,-26.49,263.39,50.36,HELLO
0.0028,0.0,0.0,0.0,0.0743,4635.59,17434.89,-17525.49,-4.49,345.39,47.36,HELLO
0.0028,0.0,0.0,0.0,0.0743,4291.59,17366.89,-17657.49,65.51,74.39,102.36,HELLO
0.0015,0.0,0.0,0.0,0.1377,4719.59,17446.89,-17669.49,293.51,-51.61,196.36,HELLO
0.0066,0.0,0.0,0.0,0.2223,4823.59,17366.89,-17493.49,338.51,20.39,231.36,HELLO
0.0167,0.0,0.0,0.0,0.2998,4775.59,17434.89,-17693.49,179.51,482.39,-26.64,HELLO
0.0155,0.0,0.0,0.0,0.3737,4643.59,17198.89,-17853.49,188.51,-47.61,82.36,HELLO
0.0117,0.0,0.0,0.0,0.3491,4619.59,17250.89,-17849.49,274.51,-272.61,111.36,HELLO
0.0066,0.0,0.0,0.0,0.2998,4991.59,17450.89,-17905.49,126.51,11.39,-84.64,HELLO
0.0066,0.0,0.0,0.0,0.2187,4763.59,17166.89,-18049.49,-11.49,59.39,-34.64,HELLO
0.0028,0.0,0.0,0.0,0.1342,4259.59,17174.89,-17897.49,-40.49,147.39,58.36,HELLO
0.0003,0.0,0.0,0.0,0.0743,4543.59,17198.89,-17597.49,-193.49,-100.61,185.36,HELLO
0.0003,0.0,0.0,0.0,0.099,4811.59,17534.89,-17721.49,-243.49,-8.61,51.36,HELLO
0.0015,0.0,0.0,0.0,0.1659,4691.59,17738.89,-17665.49,-515.49,-17.61,12.36,HELLO
0.0091,0.0,0.0,0.0,0.2434,4943.59,17414.89,-17745.49,-610.49,-85.61,-177.64,HELLO
0.0104,0.0,0.0,0.0,0.3667,4683.59,17430.89,-18005.49,-379.49,229.39,-333.64,HELLO
0.0142,0.0,0.0,0.0,0.4723,4707.59,17390.89,-17669.49,-89.49,-212.61,-208.64,HELLO
0.018,0.0,0.0,0.0,0.4723,4543.59,17442.89,-17581.49,-22.49,-337.61,5.36,HELLO
0.0117,0.0,0.0,0.0,0.3526,4571.59,17430.89,-17641.49,74.51,-89.61,-26.64,HELLO
0.0041,0.0,0.0,0.0,0.2786,4527.59,17406.89,-17521.49,207.51,52.39,-15.64,HELLO
0.0028,0.0,0.0,0.0,0.1906,4439.59,17238.89,-17649.49,354.51,-129.61,142.36,HELLO
0.0028,0.0,0.0,0.0,0.1659,4727.59,17478.89,-17653.49,410.51,-42.61,220.36,HELLO
0.0028,0.0,0.0,0.0,0.187,4819.59,17422.89,-17725.49,264.51,227.39,147.36,HELLO
0.0066,0.0,0.0,0.0,0.2434,4527.59,17386.89,-17989.49,124.51,135.39,28.36,HELLO
0.0091,0.0,0.0,0.0,0.3174,4595.59,17470.89,-17905.49,25.51,-325.61,117.36,HELLO
0.0117,0.0,0.0,0.0,0.4019,4851.59,17446.89,-17653.49,-130.49,29.39,69.36,HELLO
0.0129,0.0,0.0,0.0,0.4723,4563.59,17378.89,-17641.49,-146.49,242.39,41.36,HELLO
0.0104,0.0,0.0,0.0,0.4723,4531.59,17422.89,-17733.49,-184.49,54.39,39.36,HELLO
0.0066,0.0,0.0,0.0,0.3385,4735.59,17274.89,-17917.49,-115.49,-95.61,22.36,HELLO
0.0053,0.0,0.0,0.0,0.261,4795.59,17406.89,-17765.49,-105.49,-275.61,94.36,HELLO
0.0041,0.0,0.0,0.0,0.1906,4811.59,17390.89,-17733.49,-13.49,76.39,-24.64,HELLO
0.0053,0.0,0.0,0.0,0.1553,4643.59,17306.89,-17793.49,-37.49,72.39,-104.64,HELLO
0.0053,0.0,0.0,0.0,0.1835,4571.59,17378.89,-17757.49,-6.49,-291.61,2.36,HELLO
0.0079,0.0,0.0,0.0,0.254,4847.59,17390.89,-17541.49,85.51,-123.61,-9.64,HELLO
0.0066,0.0,0.0,0.0,0.3244,4583.59,17342.89,-17749.49,29.51,142.39,52.36,HELLO
0.0053,0.0,0.0,0.0,0.4723,4863.59,17418.89,-17725.49,-93.49,-11.61,27.36,HELLO
0.0104,0.0,0.0,0.0,0.4723,4743.59,17298.89,-17741.49,-112.49,119.39,-75.64,HELLO
0.0142,0.0,0.0,0.0,0.4723,4763.59,17362.89,-17633.49,-34.49,-180.61,62.36,HELLO
0.0117,0.0,0.0,0.0,0.3561,4767.59,17402.89,-17573.49,-101.49,45.39,-60.64,HELLO
0.0066,0.0,0.0,0.0,0.2786,4783.59,17422.89,-17549.49,37.51,320.39,-150.64,HELLO
0.0079,0.0,0.0,0.0,0.2117,4671.59,17482.89,-17549.49,169.51,182.39,-228.64,HELLO
0.0041,0.0,0.0,0.0,0.1835,4691.59,17446.89,-17657.49,64.51,-90.61,-169.64,HELLO
0.0091,0.0,0.0,0.0,0.2258,4891.59,17410.89,-17717.49,67.51,-11.61,-105.64,HELLO
0.0028,0.0,0.0,0.0,0.2962,4603.59,17406.89,-17789.49,65.51,-38.61,-45.64,HELLO
0.0053,0.0,0.0,0.0,0.3808,4683.59,17422.89,-17749.49,-14.49,-111.61,-10.64,HELLO
0.0104,0.0,0.0,0.0,0.4723,4579.59,17370.89,-17789.49,-17.49,-25.61,-42.64,HELLO
0.0155,0.0,0.0,0.0,0.5076,4727.59,17498.89,-17805.49,-169.49,-109.61,-32.64,HELLO
0.0091,0.0,0.0,0.0,0.4723,4551.59,17318.89,-17817.49,-136.49,-218.61,-3.64,HELLO
0.0117,0.0,0.0,0.0,0.3878,4663.59,17518.89,-17701.49,-28.49,-54.61,-70.64,HELLO
0.0041,0.0,0.0,0.0,0.2998,4535.59,17542.89,-17541.49,-49.49,6.39,-77.64,HELLO
0.0028,0.0,0.0,0.0,0.2364,4503.59,17538.89,-17549.49,-140.49,-73.61,-36.64,HELLO
0.0053,0.0,0.0,0.0,0.2082,4683.59,17446.89,-17641.49,66.51,6.39,26.36,HELLO
0.0041,0.0,0.0,0.0,0.2328,4583.59,17394.89,-17677.49,192.51,-126.61,95.36,HELLO
0.0091,0.0,0.0,0.0,0.3174,4747.59,17422.89,-17585.49,168.51,383.39,-103.64,HELLO
0.0091,0.0,0.0,0.0,0.4723,4615.59,17282.89,-17833.49,163.51,170.39,-65.64,HELLO
0.0167,0.0,0.0,0.0,0.4864,4611.59,17426.89,-17785.49,107.51,-118.61,99.36,HELLO
0.0117,0.0,0.0,0.0,0.5217,4959.59,17362.89,-17761.49,88.51,158.39,-43.64,HELLO
0.0117,0.0,0.0,0.0,0.4794,4915.59,17442.89,-17721.49,-172.49,224.39,-165.64,HELLO
0.0104,0.0,0.0,0.0,0.3737,4851.59,17434.89,-17629.49,-230.49,737.39,-525.64,HELLO
0.0066,0.0,0.0,0.0,0.2998,4511.59,17310.89,-17613.49,-92.49,683.39,-400.64,HELLO
0.0015,0.0,0.0,0.0,0.2328,4163.59,17138.89,-17893.49,117.51,-445.61,86.36,HELLO
0.0028,0.0,0.0,0.0,0.2046,4883.59,17506.89,-17525.49,224.51,-63.61,83.36,HELLO
0.0066,0.0,0.0,0.0,0.2469,4483.59,17386.89,-17721.49,132.51,292.39,-127.64,HELLO
0.0053,0.0,0.0,0.0,0.3209,4643.59,17386.89,-17721.49,-6.49,65.39,-60.64,HELLO
0.0091,0.0,0.0,0.0,0.4723,4595.59,17310.89,-17897.49,34.51,-90.61,-21.64,HELLO
0.0155,0.0,0.0,0.0,0.5041,4623.59,17498.89,-17885.49,174.51,6.39,10.36,HELLO
0.0142,0.0,0.0,0.0,0.5181,4739.59,17502.89,-17657.49,-68.49,-110.61,-20.64,HELLO
0.0091,0.0,0.0,0.0,0.4864,4631.59,17434.89,-17717.49,-184.49,47.39,-186.64,HELLO
0.0142,0.0,0.0,0.0,0.3808,4515.59,17322.89,-17849.49,-32.49,-266.61,-8.64,HELLO
0.0066,0.0,0.0,0.0,0.3033,4923.59,17430.89,-17569.49,175.51,239.39,-122.64,HELLO
0.0028,0.0,0.0,0.0,0.2364,4407.59,17470.89,-17597.49,170.51,404.39,-142.64,HELLO
0.0028,0.0,0.0,0.0,0.2328,4295.59,17450.89,-17589.49,112.51,-44.61,-10.64,HELLO
0.0041,0.0,0.0,0.0,0.254,4471.59,17478.89,-17597.49,153.51,-239.61,65.36,HELLO
